naam, type, uri, functie
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#5,"bijzonder hoogleraar religie, rechtsstaat en samenleving, Universiteit van Tilburg, van oktober 2010 tot 1 september 2014 (vanwege de Stichting Religie in het publieke domein)"
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#6,"universitair hoofddocent Europees en Internationaal Publiekrecht, Universiteit Tilburg, van 1999 tot 1 september 2014"
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#7,"universitair hoofddocent staats- en bestuursrecht, Katholieke Universiteit Brabant (thans Universiteit Tilburg), van 1992 tot 1999"
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#8,"universitair docent staats- en bestuursrecht, Katholieke Universiteit Brabant te Tilburg, van 1983 tot 1991"
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#9,"adjunct-wetenschappelijk ambtenaar Romeins recht, Vrije Universiteit te Amsterdam, van 1983 tot 1984"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#10,"lid van de Opleidingscommissie van de Academie voor wetgeving, vanaf september 2013"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#11,"lid redactie \"Tijdschrift voor Religie, Recht en Beleid\", vanaf 2010"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#12,"adviseur Interkerkelijk Contact in Overheidszaken, vanaf 2008"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#13,"lid Advisory Council of Freedom of Religion or Belief van het ODIHR (Office of Democratic Institutions and Human Rights) van de OVSE, van 1998 tot 2013"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#14,"lid ledenraad Pax Christi, van 2009 tot 2010"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#15,"lid Raad van Advies Centrum voor Wetenschap en Levensbeschouwing, Universiteit van Tilburg, van 2002 tot 2010"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#16,"lid redactieraad \"Nederlands Tijdschrift voor Kerk en Recht\", van 2006 tot 2010"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#17,"adviseur Nationale Conventie, 2006"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#18,"lid Raad voor het Openbaar Bestuur, van 1 januari 2004 tot 2007"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#19,"lid bestuur \"Het Sormanifonds\", van 2002 tot 2006"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#20,"lid bestuur Commissie Justitia et Pax, van 2000 tot 2005"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#21,"lid bestuur KASKI (onderzoeksinstituut over religie en samenleving), van 1999 tot 2006"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#22,"lid bestuur NVVR (Nederlandse Vereniging voor Rechtsvergelijking), van 1998 tot 2007"
prof. dr. S.C. van Bijsterveld,nevenfuncties,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#23,"plaatsvervangend lid Commissie voor Bezwaar en Beroep, gemeente Gilze en Rijen, van 2004 tot 2006"
